,Date,Open,High,Low,Close,Volume,Change,stock
0,2016-11-10,133420,146267,124031,142315,7264033,,삼성바이오로직스
1,2016-11-11,147750,184317,140338,159610,8236940,0.12152619189825398,삼성바이오로직스
2,2016-11-14,163068,175422,163068,173446,3012433,0.0866862978510119,삼성바이오로직스
3,2016-11-15,176905,179375,160598,164057,2623655,-0.05413212181312921,삼성바이오로직스
4,2016-11-16,166527,170975,161586,168010,1680645,0.024095283956185876,삼성바이오로직스
5,2016-11-17,174434,175422,165539,165540,923063,-0.014701505862746211,삼성바이오로직스
6,2016-11-18,165045,166033,155656,166034,1327992,0.002984173009544566,삼성바이오로직스
7,2016-11-21,165539,169987,162080,167022,649728,0.005950588433694337,삼성바이오로직스
8,2016-11-22,168010,171963,167022,168999,574970,0.011836764019111268,삼성바이오로직스
9,2016-11-23,170481,170481,163068,164057,464522,-0.029242776584476826,삼성바이오로직스
10,2016-11-24,163068,163563,153680,153680,847816,-0.06325240617590233,삼성바이오로직스
11,2016-11-25,152197,161586,151209,160104,710688,0.04180114523685585,삼성바이오로직스
12,2016-11-28,159115,163563,157139,159610,416202,-0.0030854944286213826,삼성바이오로직스
13,2016-11-29,155656,157139,149232,155163,904506,-0.027861662803082554,삼성바이오로직스
14,2016-11-30,154174,156644,148738,152198,2473876,-0.019108937053292308,삼성바이오로직스
15,2016-12-01,151703,152197,142314,142809,862378,-0.06168937830983323,삼성바이오로직스
16,2016-12-02,142808,144291,137373,140338,710868,-0.01730283105406527,삼성바이오로직스
17,2016-12-05,141820,144785,140338,140338,411778,0.0,삼성바이오로직스
18,2016-12-06,140832,146267,140832,144291,414505,0.02816770938733626,삼성바이오로직스
19,2016-12-07,144785,150221,144785,148739,349766,0.030826593481228848,삼성바이오로직스
20,2016-12-08,150715,152691,145279,148739,364024,0.0,삼성바이오로직스
21,2016-12-09,148738,148738,142808,143303,291658,-0.03654724046820268,삼성바이오로직스
22,2016-12-12,143302,146267,140832,141326,318520,-0.01379594286232666,삼성바이오로직스
23,2016-12-13,141820,143797,139349,143797,243538,0.017484397775356264,삼성바이오로직스
24,2016-12-14,145279,145279,140832,141821,188139,-0.013741594052727124,삼성바이오로직스
25,2016-12-15,140832,142314,139349,140832,204755,-0.0069735793711791505,삼성바이오로직스
26,2016-12-16,141326,142808,139843,142809,235264,0.01403800272665312,삼성바이오로직스
27,2016-12-19,142314,149232,141326,148244,358418,0.03805782548718928,삼성바이오로직스
28,2016-12-20,149726,151703,148244,149727,269370,0.010003777555921411,삼성바이오로직스
29,2016-12-21,150715,151209,146267,146268,148885,-0.02310204572321628,삼성바이오로직스
30,2016-12-22,146267,147256,142314,142315,157078,-0.027025733584926326,삼성바이오로직스
31,2016-12-23,142314,144785,142314,142315,87537,0.0,삼성바이오로직스
32,2016-12-26,143302,143797,142314,142315,63735,0.0,삼성바이오로직스
33,2016-12-27,142314,145279,142314,143797,109056,0.010413519305765284,삼성바이오로직스
34,2016-12-28,145773,153185,145279,150221,320529,0.044674089167367814,삼성바이오로직스
35,2016-12-29,149232,150715,147750,149233,127369,-0.006576976587827299,삼성바이오로직스
36,2017-01-02,149726,156150,149232,154668,245114,0.036419558676700214,삼성바이오로직스
37,2017-01-03,154668,156150,152691,156151,165593,0.009588279411384404,삼성바이오로직스
38,2017-01-04,157633,159115,152691,152692,182276,-0.02215163527611097,삼성바이오로직스
39,2017-01-05,154174,156150,154174,155657,97145,0.019418175149975125,삼성바이오로직스
40,2017-01-06,156150,156645,153680,155657,89148,0.0,삼성바이오로직스
41,2017-01-09,155656,156150,151209,152692,126359,-0.019048292078094775,삼성바이오로직스
42,2017-01-10,152197,152197,148738,149233,158557,-0.022653446153040102,삼성바이오로직스
43,2017-01-11,149726,159115,149726,157139,357204,0.05297755858288711,삼성바이오로직스
44,2017-01-12,155656,156645,152691,155163,153539,-0.012574854110055433,삼성바이오로직스
45,2017-01-13,153185,156150,150715,151209,187323,-0.025482879294677185,삼성바이오로직스
46,2017-01-16,152197,152691,149232,149727,127021,-0.009801003908497474,삼성바이오로직스
47,2017-01-17,149232,152197,148244,150221,112263,0.0032993381287276247,삼성바이오로직스
48,2017-01-18,151209,151703,150221,151209,74543,0.006576976587827188,삼성바이오로직스
49,2017-01-19,153680,154668,150221,150715,97540,-0.0032670013028325284,삼성바이오로직스
50,2017-01-20,150715,153680,150221,153186,80698,0.016395182961218113,삼성바이오로직스
51,2017-01-23,154174,154668,152197,153680,90566,0.003224837778909251,삼성바이오로직스
52,2017-01-24,153680,154174,150715,153186,113611,-0.0032144716293597275,삼성바이오로직스
53,2017-01-25,154174,154668,150715,153186,142352,0.0,삼성바이오로직스
54,2017-01-26,154668,162080,153680,159116,412015,0.03871110937030808,삼성바이오로직스
55,2017-01-31,160104,162080,158621,159116,231699,0.0,삼성바이오로직스
56,2017-02-01,160104,161092,157633,161092,139853,0.012418612835918497,삼성바이오로직스
57,2017-02-02,161586,170975,160598,169493,604918,0.05215032403843756,삼성바이오로직스
58,2017-02-03,171469,174434,169492,170975,404151,0.008743723929601765,삼성바이오로직스
59,2017-02-06,169986,170481,165045,166528,254507,-0.026009650533703743,삼성바이오로직스
60,2017-02-07,166527,170481,165045,169493,215270,0.017804813604919367,삼성바이오로직스
61,2017-02-08,169492,169986,159609,161092,378500,-0.04956546878042156,삼성바이오로직스
62,2017-02-09,161092,164057,158621,159116,221971,-0.012266282621110958,삼성바이오로직스
63,2017-02-10,158127,159115,154174,156151,713099,-0.018634203976972796,삼성바이오로직스
64,2017-02-13,154174,157633,153680,156151,179304,0.0,삼성바이오로직스
65,2017-02-14,156150,157633,154668,154668,152618,-0.009497217436968075,삼성바이오로직스
66,2017-02-15,154174,159609,154174,158622,131971,0.025564434789355328,삼성바이오로직스
67,2017-02-16,159115,160598,156644,157139,134143,-0.009349270592982073,삼성바이오로직스
68,2017-02-17,153680,158621,153185,158622,195285,0.009437504375107375,삼성바이오로직스
69,2017-02-20,157633,159609,157139,159116,77105,0.0031143220990783593,삼성바이오로직스
