,Date,Open,High,Low,Close,Volume,Change,stock
0,2008-01-02,71400,71600,68500,68500,2284789,-0.04329608938547491,현대차
1,2008-01-03,68000,71200,67500,71000,1651710,0.03649635036496357,현대차
2,2008-01-04,71300,71300,69600,70400,1096641,-0.008450704225352101,현대차
3,2008-01-07,67800,69400,67600,68500,1560047,-0.026988636363636354,현대차
4,2008-01-08,69300,70300,68800,69100,1187210,0.008759124087591275,현대차
5,2008-01-09,68000,68800,66800,68800,1429774,-0.00434153400868309,현대차
6,2008-01-10,69200,69600,67500,67600,973198,-0.01744186046511631,현대차
7,2008-01-11,68900,69400,66100,66100,1809026,-0.022189349112425982,현대차
8,2008-01-14,66100,67000,64400,67000,1894846,0.013615733736762392,현대차
9,2008-01-15,66100,66800,63000,63000,3024901,-0.05970149253731338,현대차
10,2008-01-16,62300,64300,61900,62300,1769147,-0.011111111111111072,현대차
11,2008-01-17,63300,64900,62900,64400,1563838,0.03370786516853941,현대차
12,2008-01-18,63500,66200,62700,65800,1751443,0.021739130434782705,현대차
13,2008-01-21,65800,68000,64500,67400,2641503,0.024316109422492405,현대차
14,2008-01-22,65100,68400,64900,67200,2930637,-0.0029673590504450953,현대차
15,2008-01-23,69300,70800,68100,69000,2876172,0.02678571428571419,현대차
16,2008-01-24,69900,71900,69300,70800,2951708,0.026086956521739202,현대차
17,2008-01-25,72000,74000,71500,72000,3212450,0.016949152542372836,현대차
18,2008-01-28,71000,71800,69300,69500,2029454,-0.03472222222222221,현대차
19,2008-01-29,71400,73000,70300,73000,3176929,0.050359712230215736,현대차
20,2008-01-30,72900,74600,71600,72800,3098651,-0.002739726027397249,현대차
21,2008-01-31,72900,73800,71900,73400,1744186,0.008241758241758212,현대차
22,2008-02-01,74200,74300,70500,71200,2368719,-0.02997275204359673,현대차
23,2008-02-04,72000,72200,70600,71300,2352941,0.001404494382022392,현대차
24,2008-02-05,71400,72000,70800,71100,1184161,-0.0028050490883591017,현대차
25,2008-02-11,69500,69900,68300,68400,2155012,-0.03797468354430378,현대차
26,2008-02-12,68800,69200,67700,69000,1437598,0.00877192982456143,현대차
27,2008-02-13,69000,69300,67000,67500,2044812,-0.021739130434782594,현대차
28,2008-02-14,68300,69500,68200,69500,1207176,0.029629629629629672,현대차
29,2008-02-15,68500,69200,67900,69100,1140800,-0.0057553956834532904,현대차
30,2008-02-18,69300,69500,68200,68800,909628,-0.00434153400868309,현대차
31,2008-02-19,69000,69200,68200,68900,1011049,0.0014534883720929148,현대차
32,2008-02-20,67500,68100,66500,67200,1951383,-0.02467343976777936,현대차
33,2008-02-21,67500,67700,66500,67100,939317,-0.0014880952380952328,현대차
34,2008-02-22,66400,66500,65100,66300,1739015,-0.011922503725782407,현대차
35,2008-02-25,66800,66900,65800,66400,1331773,0.0015082956259426794,현대차
36,2008-02-26,66900,67000,65500,66100,1442289,-0.004518072289156572,현대차
37,2008-02-27,66300,67900,66100,67600,1675520,0.0226928895612708,현대차
38,2008-02-28,68100,68700,67600,68400,1109967,0.01183431952662728,현대차
39,2008-02-29,67700,68300,66800,66800,1128677,-0.023391812865497075,현대차
40,2008-03-03,65400,67200,65000,66700,1427504,-0.0014970059880239361,현대차
41,2008-03-04,67100,67300,65800,66100,1090337,-0.008995502248875575,현대차
42,2008-03-05,66100,66200,65100,65900,1163390,-0.00302571860816947,현대차
43,2008-03-06,65800,66300,65100,65800,1120761,-0.0015174506828528056,현대차
44,2008-03-07,65100,65400,64100,64500,1906127,-0.019756838905775065,현대차
45,2008-03-10,63900,65400,63800,64100,1390731,-0.006201550387596955,현대차
46,2008-03-11,63700,68500,63700,67800,3715062,0.057722308892355745,현대차
47,2008-03-12,69800,69900,67800,67800,2071900,0.0,현대차
48,2008-03-13,67800,68200,65900,66600,1925524,-0.017699115044247815,현대차
49,2008-03-14,66700,69600,66700,69300,3476900,0.04054054054054057,현대차
50,2008-03-17,69900,70700,69100,70500,3094503,0.017316017316017396,현대차
51,2008-03-18,70500,71000,69100,70300,2164615,-0.0028368794326241176,현대차
52,2008-03-19,71400,72300,70900,71800,2550245,0.021337126600284417,현대차
53,2008-03-20,71200,73800,71100,72700,2419918,0.012534818941504211,현대차
54,2008-03-21,73000,73300,71700,72500,1751804,-0.0027510316368638543,현대차
55,2008-03-24,72500,74100,71600,73400,1759435,0.012413793103448256,현대차
56,2008-03-25,74400,76600,74000,76000,4522744,0.03542234332425065,현대차
57,2008-03-26,76000,76600,74900,74900,1903796,-0.014473684210526305,현대차
58,2008-03-27,74300,77300,74200,76900,1959627,0.026702269692923997,현대차
59,2008-03-28,76700,80000,76200,78500,2069891,0.02080624187256186,현대차
60,2008-03-31,78700,79800,77500,78900,1489564,0.005095541401273884,현대차
61,2008-04-01,78200,79800,77900,78500,1164289,-0.005069708491761693,현대차
